timestamp,da_price_eur,rebap_price_eur,pred_short_proba,actual_system_short,portfolio_imbalance_mwh,loss_unmanaged_eur,loss_hedged_eur
2026-08-23 19:30:00,66.8,-100.53,0.2184,0,-2.01,336.06,336.06
2026-08-23 19:45:00,82.16,123.37,0.8639,1,0.18,7.6,7.6
2026-08-23 20:00:00,75.26,229.08,0.3464,1,7.73,1188.35,-61.8
2026-08-23 20:15:00,67.69,-10.83,0.1489,0,1.37,-107.68,-10.97
2026-08-23 20:30:00,83.33,-23.79,0.8005,0,1.69,-180.98,-180.98
2026-08-23 20:45:00,86.9,43.41,0.1034,0,1.52,-65.96,-12.13
2026-08-23 21:00:00,75.41,228.32,0.5627,1,-5.97,-912.11,-912.11
2026-08-23 21:15:00,86.59,179.11,0.1175,1,-0.85,-78.98,-78.98
2026-08-23 21:30:00,74.4,125.65,0.2987,1,-7.49,-383.81,-383.81
2026-08-23 21:45:00,71.16,165.56,0.4215,1,3.01,284.58,284.58
2026-08-23 22:00:00,74.9,307.96,0.3617,1,5.95,1386.94,1386.94
2026-08-23 22:15:00,84.37,135.34,0.1983,1,-1.85,-94.33,-94.33
2026-08-23 22:30:00,70.99,204.78,0.5958,1,6.17,825.77,825.77
2026-08-23 22:45:00,79.35,2.24,0.1689,0,-3.93,302.71,302.71
2026-08-23 23:00:00,68.89,125.45,0.5392,1,-4.17,-235.96,-235.96
2026-08-23 23:15:00,69.1,177.02,0.4566,1,1.93,208.78,208.78
2026-08-23 23:30:00,82.71,5.96,0.543,0,-2.86,219.19,219.19
2026-08-23 23:45:00,72.06,-54.35,0.5825,0,-1.74,219.73,219.73
2026-08-24 00:00:00,71.69,98.25,0.4987,1,3.8,100.98,100.98
2026-08-24 00:15:00,82.43,187.61,0.4876,1,-3.41,-358.81,-358.81
2026-08-24 00:30:00,85.32,154.58,0.2134,1,-0.99,-68.39,-68.39
2026-08-24 00:45:00,80.1,69.55,0.9559,0,-0.41,4.33,4.33
2026-08-24 01:00:00,73.61,152.43,0.2181,1,1.32,104.43,-10.6
2026-08-24 01:15:00,68.17,38.4,0.3331,0,2.56,-76.29,-20.5
2026-08-24 01:30:00,74.36,200.23,0.1735,1,-0.36,-45.63,-45.63
2026-08-24 01:45:00,76.97,222.88,0.2182,1,-4.2,-612.16,-612.16
2026-08-24 02:00:00,66.36,32.57,0.5,0,3.54,-119.45,-119.45
2026-08-24 02:15:00,80.02,278.92,0.7875,1,10.06,2001.68,2001.68
2026-08-24 02:30:00,78.2,51.1,0.7486,0,2.87,-77.81,-77.81
2026-08-24 02:45:00,63.26,11.27,0.5551,0,1.96,-102.01,-102.01
2026-08-24 03:00:00,66.34,92.38,0.6451,1,-1.31,-34.24,-34.24
2026-08-24 03:15:00,69.26,203.08,0.3405,1,-0.88,-118.08,-118.08
2026-08-24 03:30:00,73.83,129.02,0.8498,1,-4.86,-268.42,-38.91
2026-08-24 03:45:00,84.68,76.06,0.1997,1,2.16,-18.62,-17.29
2026-08-24 04:00:00,73.66,52.96,0.4353,0,-0.48,9.84,9.84
2026-08-24 04:15:00,69.77,-2.5,0.5512,0,4.51,-325.77,-325.77
2026-08-24 04:30:00,78.03,25.57,0.1554,0,-3.63,190.4,190.4
2026-08-24 04:45:00,70.49,110.93,0.3059,1,4.78,193.11,-38.2
2026-08-24 05:00:00,74.63,165.08,0.3088,1,-1.08,-98.12,-98.12
2026-08-24 05:15:00,78.78,180.53,0.9427,1,-2.14,-217.63,-17.11
2026-08-24 05:30:00,82.25,-64.31,0.1327,0,-1.69,247.81,247.81
2026-08-24 05:45:00,70.85,98.14,0.8967,1,-2.13,-58.17,-17.05
2026-08-24 06:00:00,80.15,-75.43,0.376,0,-7.31,1137.16,1137.16
2026-08-24 06:15:00,80.01,126.43,0.9269,1,2.24,103.87,103.87
2026-08-24 06:30:00,64.65,-98.3,0.0905,0,2.71,-441.6,-21.68
2026-08-24 06:45:00,82.28,361.23,0.8279,1,4.47,1248.3,1248.3
2026-08-24 07:00:00,67.19,15.37,0.3727,0,2.47,-127.92,-127.92
2026-08-24 07:15:00,61.25,-65.74,0.3692,0,2.3,-291.56,-291.56
2026-08-24 07:30:00,77.16,265.42,0.5036,1,-5.87,-1105.98,-1105.98
2026-08-24 07:45:00,76.27,218.51,0.6613,1,0.64,91.16,91.16
2026-08-24 08:00:00,65.09,179.35,0.4443,1,-3.97,-453.19,-453.19
2026-08-24 08:15:00,60.34,170.62,0.6711,1,-0.98,-107.72,-107.72
2026-08-24 08:30:00,62.68,166.6,0.9069,1,4.89,507.98,507.98
2026-08-24 08:45:00,62.47,-55.07,0.0895,0,0.11,-13.25,-13.25
2026-08-24 09:00:00,67.56,97.92,0.8839,1,-9.15,-277.73,-73.18
2026-08-24 09:15:00,62.65,-77.92,0.137,0,-3.51,492.77,492.77
2026-08-24 09:30:00,57.15,102.26,0.3275,1,-1.99,-89.6,-89.6
2026-08-24 09:45:00,63.81,111.73,0.3955,1,-0.79,-37.85,-37.85
2026-08-24 10:00:00,53.31,-35.84,0.277,0,3.28,-292.69,-26.26
2026-08-24 10:15:00,62.08,34.61,0.2168,0,2.93,-80.45,-23.43
2026-08-24 10:30:00,51.76,15.36,0.3653,0,2.84,-103.47,-103.47
2026-08-24 10:45:00,56.85,34.87,0.8605,1,0.81,-17.87,-17.87
2026-08-24 11:00:00,50.19,-30.07,0.0861,0,-1.03,82.9,82.9
2026-08-24 11:15:00,51.72,49.19,0.8204,0,-1.27,3.2,-10.13
2026-08-24 11:30:00,50.98,33.9,0.4171,0,1.51,-25.83,-25.83
2026-08-24 11:45:00,60.49,90.01,0.5229,1,3.27,96.5,96.5
2026-08-24 12:00:00,47.76,239.72,0.613,1,5.43,1043.15,1043.15
2026-08-24 12:15:00,45.59,73.21,0.1678,1,0.33,9.05,9.05
2026-08-24 12:30:00,62.16,40.93,0.138,0,1.03,-21.91,-8.26
2026-08-24 12:45:00,58.58,224.69,0.8419,1,5.2,863.61,863.61
2026-08-24 13:00:00,38.59,211.43,0.7484,1,-3.8,-657.5,-30.43
2026-08-24 13:15:00,47.91,106.07,0.537,1,2.87,167.16,167.16
2026-08-24 13:30:00,40.85,251.29,0.8088,1,-2.76,-580.36,-22.06
2026-08-24 13:45:00,45.65,-53.28,0.0796,0,5.58,-551.87,-44.63
2026-08-24 14:00:00,32.95,112.41,0.7589,1,4.92,391.0,391.0
2026-08-24 14:15:00,53.12,303.18,0.7833,1,5.76,1439.51,1439.51
2026-08-24 14:30:00,44.32,-7.14,0.0721,0,5.4,-277.66,-43.16
2026-08-24 14:45:00,54.67,105.78,0.9173,1,2.94,150.37,150.37
2026-08-24 15:00:00,42.68,107.78,0.2002,1,-3.58,-233.11,-233.11
2026-08-24 15:15:00,54.68,163.31,0.5199,1,1.73,188.11,188.11
2026-08-24 15:30:00,49.94,79.24,0.7347,1,3.14,91.86,91.86
2026-08-24 15:45:00,65.84,27.43,0.3009,0,1.67,-64.17,-13.37
2026-08-24 16:00:00,63.77,257.65,0.8425,1,-0.4,-77.72,-77.72
2026-08-24 16:15:00,63.24,44.74,0.7943,0,0.55,-10.16,-10.16
2026-08-24 16:30:00,56.58,110.38,0.0908,1,1.36,72.98,-10.85
2026-08-24 16:45:00,70.05,105.01,0.5974,1,-3.59,-125.57,-125.57
2026-08-24 17:00:00,51.63,139.61,0.8533,1,2.38,209.13,209.13
2026-08-24 17:15:00,47.11,52.39,0.4553,0,1.94,10.25,10.25
2026-08-24 17:30:00,62.84,302.01,0.8487,1,-0.46,-110.26,-110.26
2026-08-24 17:45:00,79.04,76.64,0.7562,1,2.34,-5.61,-5.61
2026-08-24 18:00:00,60.59,-102.23,0.1131,0,4.07,-663.12,-32.58
2026-08-24 18:15:00,67.49,282.65,0.582,1,-3.56,-765.61,-765.61
2026-08-24 18:30:00,61.21,45.71,0.8383,0,5.15,-79.78,-79.78
2026-08-24 18:45:00,72.66,23.55,0.4292,0,3.56,-174.69,-174.69
2026-08-24 19:00:00,72.05,117.86,0.5404,1,3.52,161.31,161.31
2026-08-24 19:15:00,71.8,243.38,0.717,1,3.49,598.93,598.93
2026-08-24 19:30:00,65.79,163.45,0.2759,1,2.5,244.2,-20.0
2026-08-24 19:45:00,63.44,76.58,0.7584,1,0.0,0.03,0.03
2026-08-24 20:00:00,60.32,210.87,0.6656,1,-2.57,-386.39,-20.53
2026-08-24 20:15:00,71.45,206.53,0.8095,1,1.79,242.27,242.27
2026-08-24 20:30:00,62.57,174.19,0.3701,1,0.47,51.92,51.92
2026-08-24 20:45:00,63.35,-88.61,0.503,0,-2.43,368.93,368.93
2026-08-24 21:00:00,65.4,182.44,0.4331,1,6.16,720.81,720.81
2026-08-24 21:15:00,64.7,27.06,0.3258,0,2.94,-110.73,-23.53
2026-08-24 21:30:00,61.95,34.76,0.5642,0,-1.09,29.59,29.59
2026-08-24 21:45:00,67.62,233.61,0.3366,1,-5.51,-914.69,-914.69
2026-08-24 22:00:00,69.71,13.09,0.4316,0,-2.93,166.08,166.08
2026-08-24 22:15:00,69.41,150.99,0.5906,1,1.71,139.51,139.51
2026-08-24 22:30:00,68.63,342.77,0.4158,1,-0.9,-247.29,-247.29
2026-08-24 22:45:00,58.68,-41.64,0.2869,0,-4.61,462.59,462.59
2026-08-24 23:00:00,67.92,311.88,0.9521,1,0.93,227.89,227.89
2026-08-24 23:15:00,66.62,153.75,0.1988,1,-0.56,-48.41,-48.41
2026-08-24 23:30:00,56.95,17.97,0.745,0,-1.41,54.93,-11.27
2026-08-24 23:45:00,71.74,165.11,0.6798,1,-4.36,-406.83,-34.86
2026-08-25 00:00:00,61.46,64.88,0.8384,0,1.17,4.01,4.01
2026-08-25 00:15:00,73.01,24.12,0.6883,0,-3.75,183.53,-30.03
2026-08-25 00:30:00,73.96,69.69,0.1206,0,-0.74,3.18,3.18
2026-08-25 00:45:00,70.6,-17.88,0.3274,0,4.06,-359.4,-32.5
2026-08-25 01:00:00,67.7,199.46,0.4714,1,4.36,573.9,573.9
2026-08-25 01:15:00,61.66,-110.96,0.6467,0,-0.45,77.38,77.38
2026-08-25 01:30:00,71.51,127.7,0.4666,1,-10.78,-605.62,-605.62
2026-08-25 01:45:00,71.41,47.98,0.9698,0,2.64,-61.93,-61.93
2026-08-25 02:00:00,60.77,-40.51,0.3392,0,-3.25,329.29,329.29
2026-08-25 02:15:00,61.65,56.36,0.6928,0,-4.88,25.8,-39.01
2026-08-25 02:30:00,55.96,128.36,0.4968,1,2.59,187.5,187.5
2026-08-25 02:45:00,66.79,122.06,0.7356,1,-6.47,-357.83,-51.79
2026-08-25 03:00:00,63.57,353.84,0.5276,1,2.49,723.83,723.83
2026-08-25 03:15:00,71.08,11.01,0.0683,0,3.17,-190.29,-25.34
2026-08-25 03:30:00,67.15,36.69,0.5026,0,1.76,-53.59,-53.59
2026-08-25 03:45:00,69.58,48.46,0.3685,0,0.73,-15.49,-15.49
2026-08-25 04:00:00,61.02,498.57,0.8987,1,-0.39,-171.79,-171.79
2026-08-25 04:15:00,72.6,244.42,0.7266,1,-1.69,-290.95,-13.55
2026-08-25 04:30:00,61.11,150.45,0.6851,1,-3.79,-338.32,-30.3
2026-08-25 04:45:00,69.38,98.8,0.4727,1,8.29,243.89,243.89
2026-08-25 05:00:00,51.42,12.58,0.1996,0,-1.56,60.44,60.44
2026-08-25 05:15:00,65.58,149.07,0.338,1,-3.23,-269.85,-269.85
2026-08-25 05:30:00,50.51,-22.4,0.2932,0,-0.33,23.8,23.8
2026-08-25 05:45:00,62.89,237.46,0.5676,1,2.02,352.9,352.9
2026-08-25 06:00:00,67.95,40.54,0.4814,0,3.57,-97.93,-97.93
2026-08-25 06:15:00,59.47,34.47,0.4144,0,-0.8,19.95,19.95
2026-08-25 06:30:00,53.6,-26.5,0.2581,0,-0.67,53.35,53.35
2026-08-25 06:45:00,65.78,93.44,0.3984,1,-2.8,-77.56,-77.56
2026-08-25 07:00:00,55.75,-97.45,0.2443,0,-0.9,137.32,137.32
2026-08-25 07:15:00,52.75,23.36,0.5137,0,3.03,-89.01,-89.01
2026-08-25 07:30:00,56.3,212.59,0.6706,1,-0.22,-33.99,-33.99
2026-08-25 07:45:00,70.11,34.89,0.4345,0,-1.28,45.25,45.25
2026-08-25 08:00:00,60.31,-21.33,0.3736,0,0.6,-48.86,-48.86
2026-08-25 08:15:00,59.92,103.66,0.4351,1,-2.74,-119.67,-119.67
2026-08-25 08:30:00,54.45,-33.19,0.3021,0,-7.55,661.7,661.7
2026-08-25 08:45:00,52.04,-1.88,0.2504,0,-1.7,91.83,91.83
2026-08-25 09:00:00,32.85,377.35,0.6506,1,-10.46,-3603.78,-83.69
2026-08-25 09:15:00,44.54,28.59,0.5725,0,-0.93,14.76,14.76
2026-08-25 09:30:00,45.3,81.51,0.4152,1,1.44,52.16,52.16
2026-08-25 09:45:00,35.94,-35.32,0.3478,0,3.46,-246.31,-27.65
2026-08-25 10:00:00,31.73,-73.89,0.0943,0,1.85,-195.88,-14.84
2026-08-25 10:15:00,36.0,175.86,0.8558,1,0.13,17.76,17.76
2026-08-25 10:30:00,44.15,-109.39,0.1966,0,-3.59,551.18,551.18
2026-08-25 10:45:00,46.98,45.07,0.3502,0,-3.85,7.35,7.35
2026-08-25 11:00:00,49.78,44.2,0.7214,0,-0.74,4.1,4.1
2026-08-25 11:15:00,43.33,-37.76,0.1009,0,-3.03,245.51,245.51
2026-08-25 11:30:00,35.15,92.83,0.6545,1,-3.37,-194.24,-26.94
2026-08-25 11:45:00,30.44,-39.79,0.6034,0,0.16,-10.98,-10.98
2026-08-25 12:00:00,33.67,142.93,0.7609,1,-2.98,-325.7,-23.85
2026-08-25 12:15:00,32.76,2.93,0.3682,0,-6.36,189.68,189.68
2026-08-25 12:30:00,37.19,298.11,0.548,1,-0.76,-199.39,-199.39
2026-08-25 12:45:00,37.75,-11.82,0.0751,0,-3.32,164.76,164.76
2026-08-25 13:00:00,37.1,-41.27,0.2085,0,1.81,-141.97,-14.49
2026-08-25 13:15:00,42.04,-33.2,0.7809,0,4.53,-340.76,-340.76
2026-08-25 13:30:00,38.02,-63.74,0.1748,0,2.66,-270.68,-21.28
2026-08-25 13:45:00,41.35,162.88,0.6963,1,1.53,185.64,185.64
2026-08-25 14:00:00,48.13,118.49,0.3218,1,4.78,336.3,-38.24
2026-08-25 14:15:00,35.3,-19.44,0.8187,0,-3.43,187.92,-27.46
2026-08-25 14:30:00,42.75,-30.64,0.8474,0,-2.02,148.09,-16.14
2026-08-25 14:45:00,43.96,118.87,0.8948,1,0.65,48.64,48.64
2026-08-25 15:00:00,40.04,-59.1,0.2796,0,-1.38,137.29,137.29
2026-08-25 15:15:00,52.05,152.18,0.9268,1,0.51,50.88,50.88
2026-08-25 15:30:00,51.08,45.57,0.282,0,-1.32,7.29,7.29
2026-08-25 15:45:00,40.89,86.68,0.1397,1,-0.92,-42.03,-42.03
2026-08-25 16:00:00,43.4,82.82,0.4811,1,-1.5,-58.96,-58.96
2026-08-25 16:15:00,50.42,163.01,0.6634,1,2.6,293.19,293.19
2026-08-25 16:30:00,48.37,11.25,0.3679,0,-0.65,24.19,24.19
2026-08-25 16:45:00,53.31,95.69,0.3046,1,-4.59,-194.38,-194.38
2026-08-25 17:00:00,53.18,117.66,0.76,1,-0.43,-27.49,-27.49
2026-08-25 17:15:00,65.39,188.62,0.6475,1,-2.13,-262.6,-262.6
2026-08-25 17:30:00,45.96,3.13,0.846,0,5.05,-216.45,-216.45
2026-08-25 17:45:00,56.3,97.35,0.659,1,1.27,52.06,52.06
2026-08-25 18:00:00,49.38,37.64,0.2768,0,4.45,-52.21,-35.58
2026-08-25 18:15:00,59.82,137.85,0.5517,1,0.39,30.33,30.33
2026-08-25 18:30:00,50.96,292.84,0.8611,1,3.22,779.64,779.64
2026-08-25 18:45:00,58.0,-38.41,0.5702,0,2.68,-258.1,-258.1
2026-08-25 19:00:00,51.75,-22.21,0.2774,0,1.95,-144.46,-15.63
2026-08-25 19:15:00,54.11,246.72,0.3236,1,-6.09,-1172.82,-1172.82
2026-08-25 19:30:00,49.75,21.85,0.7195,0,0.7,-19.49,-19.49
2026-08-25 19:45:00,54.88,-36.11,0.6654,0,4.76,-433.36,-433.36
2026-08-25 20:00:00,63.04,28.98,0.2223,0,0.05,-1.6,-1.6
2026-08-25 20:15:00,58.38,-108.9,0.1998,0,4.09,-685.01,-32.76
2026-08-25 20:30:00,60.0,50.54,0.4733,0,-1.68,15.9,15.9
2026-08-25 20:45:00,67.78,206.2,0.7808,1,-1.07,-148.65,-8.59
2026-08-25 21:00:00,62.67,92.93,0.9146,1,2.41,72.93,72.93
2026-08-25 21:15:00,54.75,55.93,0.5243,0,-4.95,-5.84,-5.84
2026-08-25 21:30:00,56.53,11.71,0.0952,0,5.85,-262.37,-46.83
2026-08-25 21:45:00,49.56,47.66,0.8715,0,-0.96,1.83,1.83
2026-08-25 22:00:00,54.73,267.21,0.4788,1,4.6,976.76,976.76
2026-08-25 22:15:00,46.75,-36.54,0.6908,0,-2.09,174.32,-16.74
2026-08-25 22:30:00,63.71,200.66,0.6934,1,2.63,360.34,360.34
2026-08-25 22:45:00,52.35,117.2,0.1937,1,-1.46,-94.38,-94.38
2026-08-25 23:00:00,59.71,49.49,0.734,1,-5.38,55.03,-43.08
2026-08-25 23:15:00,51.93,-7.02,0.7643,0,-1.48,87.35,-11.85
2026-08-25 23:30:00,61.43,120.08,0.9215,1,-0.4,-23.31,-23.31
2026-08-25 23:45:00,52.74,186.0,0.8313,1,1.68,223.81,223.81
2026-08-26 00:00:00,56.54,115.9,0.1151,1,-2.76,-164.09,-164.09
2026-08-26 00:15:00,61.73,244.61,0.6321,1,1.82,332.63,332.63
2026-08-26 00:30:00,59.74,52.79,0.565,0,-0.91,6.31,6.31
2026-08-26 00:45:00,55.78,7.37,0.5191,0,-6.93,335.31,335.31
2026-08-26 01:00:00,46.06,179.19,0.736,1,3.45,458.76,458.76
2026-08-26 01:15:00,75.98,-15.49,0.3156,0,3.77,-345.12,-30.18
2026-08-26 01:30:00,67.73,-132.51,0.1613,0,-1.25,250.4,250.4
2026-08-26 01:45:00,60.23,180.89,0.9636,1,-0.66,-79.11,-79.11
2026-08-26 02:00:00,54.26,115.89,0.7457,1,-1.83,-113.02,-14.67
2026-08-26 02:15:00,53.43,-151.29,0.2046,0,1.33,-272.59,-10.65
2026-08-26 02:30:00,52.17,-3.98,0.9804,0,-2.06,115.89,-16.51
2026-08-26 02:45:00,65.51,259.62,0.6207,1,2.91,565.06,565.06
2026-08-26 03:00:00,59.2,-48.05,0.2405,0,-0.51,54.24,54.24
2026-08-26 03:15:00,52.26,69.16,0.4575,1,-4.54,-76.78,-76.78
2026-08-26 03:30:00,53.06,39.77,0.9793,0,2.4,-31.92,-31.92
2026-08-26 03:45:00,63.92,125.73,0.2606,1,1.65,101.8,-13.18
2026-08-26 04:00:00,66.72,165.76,0.3256,1,-6.47,-640.55,-640.55
2026-08-26 04:15:00,64.98,131.91,0.3578,1,0.65,43.53,43.53
2026-08-26 04:30:00,60.47,165.62,0.3178,1,1.96,206.52,-15.71
2026-08-26 04:45:00,52.94,-46.67,0.1773,0,-0.33,32.59,32.59
2026-08-26 05:00:00,38.56,289.25,0.8203,1,-1.68,-420.77,-13.43
2026-08-26 05:15:00,61.03,163.4,0.5554,1,4.3,440.19,440.19
2026-08-26 05:30:00,56.73,190.1,0.3151,1,-2.31,-308.71,-308.71
2026-08-26 05:45:00,57.07,-29.12,0.4137,0,6.1,-525.87,-525.87
2026-08-26 06:00:00,54.8,-95.29,0.1972,0,-2.53,379.16,379.16
2026-08-26 06:15:00,45.78,170.92,0.5845,1,3.29,411.76,411.76
2026-08-26 06:30:00,57.79,161.98,0.4533,1,6.32,658.05,658.05
2026-08-26 06:45:00,57.39,8.27,0.5029,0,-4.49,220.49,220.49
2026-08-26 07:00:00,57.82,11.52,0.3576,0,1.67,-77.42,-77.42
2026-08-26 07:15:00,56.86,-10.79,0.2657,0,-2.52,170.73,170.73
2026-08-26 07:30:00,53.71,156.7,0.4492,1,2.81,289.0,289.0
2026-08-26 07:45:00,42.38,172.89,0.038,1,5.03,655.87,-40.2
2026-08-26 08:00:00,47.62,249.62,0.8086,1,6.21,1254.95,1254.95
2026-08-26 08:15:00,45.9,52.39,0.3458,0,3.59,23.32,-28.75
2026-08-26 08:30:00,46.77,127.72,0.6979,1,-1.16,-93.94,-9.28
2026-08-26 08:45:00,49.87,13.88,0.131,0,2.53,-90.96,-20.22
2026-08-26 09:00:00,49.01,95.84,0.128,1,9.22,431.61,-73.73
2026-08-26 09:15:00,55.99,232.48,0.544,1,4.41,778.54,778.54
2026-08-26 09:30:00,54.42,173.96,0.1418,1,7.82,934.68,-62.55
2026-08-26 09:45:00,38.42,-109.31,0.1019,0,4.08,-602.58,-32.63
2026-08-26 10:00:00,18.74,40.77,0.9182,1,-4.11,-90.62,-32.91
2026-08-26 10:15:00,50.26,-84.57,0.5065,0,-0.89,119.93,119.93
2026-08-26 10:30:00,32.41,-73.22,0.1469,0,2.56,-270.5,-20.49
2026-08-26 10:45:00,34.04,167.63,0.7309,1,-3.2,-427.61,-25.61
2026-08-26 11:00:00,34.61,-93.15,0.3298,0,2.5,-319.91,-20.03
2026-08-26 11:15:00,35.2,73.79,0.5952,1,-6.66,-256.82,-256.82
2026-08-26 11:30:00,42.06,33.88,0.2849,0,-0.17,1.35,1.35
2026-08-26 11:45:00,27.07,20.45,0.378,0,2.16,-14.31,-14.31
2026-08-26 12:00:00,28.76,328.98,0.4818,1,-6.4,-1921.7,-1921.7
2026-08-26 12:15:00,40.65,-91.71,0.3422,0,2.04,-269.41,-16.28
2026-08-26 12:30:00,40.24,-10.03,0.7321,0,3.28,-164.97,-164.97
2026-08-26 12:45:00,40.09,23.87,0.7985,0,3.39,-55.02,-55.02
2026-08-26 13:00:00,31.8,84.83,0.7436,1,-5.61,-297.73,-44.91
2026-08-26 13:15:00,28.68,-13.27,0.2371,0,-4.85,203.51,203.51
2026-08-26 13:30:00,36.41,177.46,0.8128,1,4.15,585.7,585.7
2026-08-26 13:45:00,41.78,8.6,0.7374,0,4.16,-137.97,-137.97
2026-08-26 14:00:00,47.21,148.55,0.2584,1,-3.52,-356.84,-356.84
2026-08-26 14:15:00,27.91,62.64,0.8513,1,-4.47,-155.27,-35.77
2026-08-26 14:30:00,39.04,-1.78,0.9403,0,3.57,-145.78,-145.78
2026-08-26 14:45:00,31.26,75.94,0.7392,1,-6.65,-297.34,-53.24
2026-08-26 15:00:00,32.27,14.38,0.8374,0,2.51,-44.94,-44.94
2026-08-26 15:15:00,47.28,192.74,0.9143,1,-5.58,-811.94,-44.66
2026-08-26 15:30:00,48.41,175.51,0.3384,1,-4.84,-615.46,-615.46
2026-08-26 15:45:00,44.89,-14.95,0.4152,0,0.5,-29.63,-29.63
2026-08-26 16:00:00,50.79,86.35,0.2628,1,2.49,88.6,-19.93
2026-08-26 16:15:00,40.32,260.61,0.5951,1,2.59,569.88,569.88
2026-08-26 16:30:00,42.52,-31.82,0.1183,0,0.64,-47.8,-47.8
2026-08-26 16:45:00,63.09,200.63,0.7162,1,-2.91,-399.66,-23.25
2026-08-26 17:00:00,50.01,101.92,0.7444,1,-2.71,-140.56,-21.66
2026-08-26 17:15:00,52.86,166.75,0.4309,1,0.93,106.35,106.35
2026-08-26 17:30:00,50.27,194.22,0.6299,1,2.5,359.65,359.65
2026-08-26 17:45:00,42.18,-10.44,0.8514,0,-3.05,160.3,-24.37
2026-08-26 18:00:00,38.68,-28.48,0.069,0,-2.35,157.88,157.88
2026-08-26 18:15:00,47.41,96.42,0.6935,1,-2.05,-100.43,-16.39
2026-08-26 18:30:00,63.94,192.99,0.8952,1,0.23,29.1,29.1
2026-08-26 18:45:00,60.71,40.76,0.5328,0,-3.27,65.19,65.19
2026-08-26 19:00:00,64.15,11.7,0.5835,0,-0.03,1.43,1.43
2026-08-26 19:15:00,53.7,134.06,0.6789,1,0.75,60.27,60.27
2026-08-26 19:30:00,67.36,-78.29,0.1251,0,1.81,-263.62,-14.48
2026-08-26 19:45:00,52.05,29.48,0.8757,0,1.61,-36.41,-36.41
2026-08-26 20:00:00,57.25,-11.22,0.4579,0,-4.37,298.94,298.94
2026-08-26 20:15:00,58.5,152.46,0.5816,1,0.23,21.54,21.54
2026-08-26 20:30:00,57.97,47.05,0.4978,0,1.57,-17.16,-17.16
2026-08-26 20:45:00,65.26,-15.82,0.0705,0,-2.39,193.98,193.98
2026-08-26 21:00:00,52.19,15.35,0.5015,0,-1.36,50.19,50.19
2026-08-26 21:15:00,52.02,10.42,0.796,0,4.9,-203.84,-203.84
2026-08-26 21:30:00,54.5,133.97,0.2936,1,-6.88,-546.93,-546.93
2026-08-26 21:45:00,54.93,178.04,0.6133,1,7.6,935.6,935.6
2026-08-26 22:00:00,78.01,158.07,0.2367,1,4.28,342.75,-34.25
2026-08-26 22:15:00,56.4,-35.08,0.3846,0,-1.05,95.85,95.85
2026-08-26 22:30:00,56.46,310.75,0.9447,1,5.71,1451.84,1451.84
